Date,Bloom Stage
3/7/2025,SoB
3/14/2025,SoB
3/21/2025,MoB
3/28/2025,PoB
4/4/2025,PoB
4/11/2025,PoB
4/18/2025,LPoB
4/25/2025,LPoB
5/2/2025,EoB
5/9/2025,EoB
5/23/2025,EoB
5/30/2025,EoB
3/8/2024,PoB
3/15/2024,SoB
3/22/2024,MoB
3/29/2024,MoB
4/5/2024,PoB
4/12/2024,SoB
4/12/2024,MoB
4/19/2024,PoB
4/25/2024,LPoB
5/3/2024,LPoB
5/10/2024,LPoB
5/17/2024,LPoB
5/24/2024,LPoB
5/31/2024,EoB
3/3/2023,SoB / Superbloom
3/10/2023,SoB / Superbloom
3/17/2023,SoB
3/24/2023,PoB
3/31/2023,PoB
4/7/2023,PoB
4/14/2023,PoB
4/21/2023,LPoB
5/5/2023,LPoB
5/12/2023,LPoB
5/19/2023,LPoB
5/26/2023,EoB
6/2/2023,EoB
3/4/2022,SoB
3/11/2022,SoB
3/18/2022,SoB
3/25/2022,MoB
4/1/2022,MoB
4/8/2022,MoB
4/15/2022,PoB
4/29/2022,LPoB
5/6/2022,LPoB
5/13/2022,EoB
5/20/2022,EoB
5/27/2022,EoB
3/12/2021,SoB
3/19/2021,SoB
3/26/2021,SoB
4/2/2021,MoB
4/9/2021,MoB
4/16/2021,MoB
4/23/2021,PoB
4/30/2021,PoB
5/7/2021,EoB
5/14/2021,EoB
3/6/2020,SoB
3/13/2020,SoB
3/20/2020,SoB
3/27/2020,MoB
4/3/2020,MoB
4/10/2020,MoB
4/17/2020,PoB
4/24/2020,PoB
5/5/2020,LPoB
5/8/2020,EoB
5/15/2020,EoB
5/22/2020,EoB
5/29/2020,EoB
3/1/2019,SoB / Superbloom
3/8/2019,SoB / Superbloom
3/15/2019,SoB
3/22/2019,MoB
3/29/2019,MoB
4/5/2019,MoB
4/12/2019,PoB
4/19/2019,PoB
4/26/2019,LPoB
5/3/2019,EoB
5/10/2019,EoB
5/17/2019,EoB
5/24/2019,EoB
5/31/2019,EoB
3/2/2018,SoB
3/9/2018,SoB
3/16/2018,SoB
3/23/2018,MoB
3/30/2018,MoB
4/6/2018,MoB
4/13/2018,PoB
4/20/2018,LPoB
4/27/2018,EoB
5/4/2018,EoB
5/11/2018,EoB
5/18/2018,EoB
5/25/2018,EoB
3/3/2017,SoB
3/10/2017,SoB
3/17/2017,SoB
3/24/2017,SoB / Superbloom
3/31/2017,MoB
4/7/2017,MoB
4/14/2017,PoB
4/21/2017,LPoB
4/28/2017,LPoB
5/5/2017,EoB
5/12/2017,EoB
5/19/2017,EoB
5/26/2017,EoB
3/4/2016,SoB
3/11/2016,SoB
3/18/2016,SoB
3/25/2016,MoB
4/1/2016,MoB
4/8/2016,MoB
4/15/2016,PoB
4/22/2016,LPoB
4/29/2016,LPoB
5/6/2016,EoB
5/13/2016,EoB
5/20/2016,EoB
5/27/2016,EoB
3/6/2015,SoB
3/13/2015,SoB
3/20/2015,SoB
3/27/2015,MoB
4/10/2015,MoB
4/17/2015,MoB
4/24/2015,PoB
5/1/2015,LPoB
5/8/2015,LPoB
5/15/2015,EoB
5/22/2015,EoB
5/29/2015 pt1,EoB
5/29/2015 pt2,EoB
3/7/2014,SoB
3/14/2014,SoB
3/21/2014,SoB
3/28/2014,MoB
4/4/2014,MoB
4/11/2014,MoB
4/18/2014,PoB
4/25/2014,LPoB
5/2/2014,LPoB
5/9/2014,EoB
5/16/2014,EoB
5/23/2014,EoB
5/30/2014,EoB
3/1/2013,SoB
3/8/2013,SoB
3/15/2013,SoB
3/22/2013,MoB
3/29/2013,MoB
4/5/2013,MoB
4/12/2013,PoB
4/19/2013,LPoB
4/26/2013,LPoB
5/3/2013,EoB
5/10/2013,EoB
5/17/2013,EoB
5/24/2013,EoB
5/31/2013,EoB
