region,Year,week,date,bloom_stage,T2M,T2M_pred,T2M_final,T2M_MAX,T2M_MAX_pred,T2M_MAX_final,T2M_MIN,T2M_MIN_pred,T2M_MIN_final,PRECTOTCORR,PRECTOTCORR_pred,PRECTOTCORR_final,RH2M,RH2M_pred,RH2M_final,VPD,VPD_pred,VPD_final,ET0,ET0_pred,ET0_final,QV2M,QV2M_pred,QV2M_final,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN_pred,ALLSKY_SFC_SW_DWN_final,PS,PS_pred,PS_final
usa_11,2013,5,2013-02-01,NoBloom,8.552875,,8.552875,12.757330357142855,,12.757330357142855,5.508964285714286,,5.508964285714286,0.0817142857142856,,0.0817142857142856,73.1936517857143,,73.1936517857143,1.1519433153380227,,1.1519433153380227,5.080673137042261,,5.080673137042261,0.0053817499999999,,0.0053817499999999,11.97125,,11.97125,95.887625,,95.887625
usa_11,2013,6,2013-02-08,NoBloom,7.112848214285714,,7.112848214285714,11.145553571428572,,11.145553571428572,4.091294642857143,,4.091294642857143,0.9547767857142856,,0.9547767857142856,73.27314285714286,,73.27314285714286,1.0526342083588158,,1.0526342083588158,5.270333517633512,,5.270333517633512,0.0049424285714285,,0.0049424285714285,12.946571428571428,,12.946571428571428,95.31625892857144,,95.31625892857144
usa_11,2013,7,2013-02-15,NoBloom,8.693526785714287,,8.693526785714287,13.542714285714286,,13.542714285714286,4.995508928571429,,4.995508928571429,0.0285267857142856,,0.0285267857142856,67.25398214285715,,67.25398214285715,1.165889929856481,,1.165889929856481,5.472606058672532,,5.472606058672532,0.0050378571428571,,0.0050378571428571,15.454214285714286,,15.454214285714286,95.77989285714284,,95.77989285714284
usa_11,2013,8,2013-02-22,NoBloom,6.503660714285713,,6.503660714285713,10.53923214285714,,10.53923214285714,3.286785714285714,,3.286785714285714,0.8026964285714285,,0.8026964285714285,71.33571428571429,,71.33571428571429,1.0066515647948329,,1.0066515647948329,5.766277865261088,,5.766277865261088,0.0046331785714285,,0.0046331785714285,15.123107142857142,,15.123107142857142,95.33024107142856,,95.33024107142856
usa_11,2013,9,2013-03-01,SoB,9.677883928571427,,9.677883928571427,14.448883928571428,,14.448883928571428,5.9662589285714285,,5.9662589285714285,0.2433303571428571,,0.2433303571428571,68.33225,,68.33225,1.2351998399145334,,1.2351998399145334,6.133640038118299,,6.133640038118299,0.0053600535714285,,0.0053600535714285,16.661571428571428,,16.661571428571428,95.90820535714286,,95.90820535714286
usa_11,2013,10,2013-03-08,SoB,8.18957142857143,,8.18957142857143,12.2769375,,12.2769375,4.976401785714286,,4.976401785714286,1.9961339285714288,,1.9961339285714288,74.18205357142857,,74.18205357142857,1.115681346589914,,1.115681346589914,5.918072829664552,,5.918072829664552,0.0052622232142856,,0.0052622232142856,16.073785714285712,,16.073785714285712,95.3341875,,95.3341875
usa_11,2013,11,2013-03-15,SoB,12.519375,,12.519375,17.786526785714287,,17.786526785714287,8.283758928571428,,8.283758928571428,0.0457499999999999,,0.0457499999999999,66.90386607142857,,66.90386607142857,1.4776765095857751,,1.4776765095857751,7.1148063068860194,,7.1148063068860194,0.0059927678571428,,0.0059927678571428,18.47632142857143,,18.47632142857143,95.57398214285716,,95.57398214285716
usa_11,2013,12,2013-03-22,MoB,10.568803571428573,,10.568803571428573,15.410357142857142,,15.410357142857142,6.506866071428571,,6.506866071428571,0.7415535714285715,,0.7415535714285715,66.09161607142858,,66.09161607142858,1.2986070180107272,,1.2986070180107272,6.948569948736884,,6.948569948736884,0.005391982142857,,0.005391982142857,19.669464285714287,,19.669464285714287,95.34973214285716,,95.34973214285716
usa_11,2013,13,2013-03-29,MoB,12.032892857142858,,12.032892857142858,16.528267857142858,,16.528267857142858,8.275241071428571,,8.275241071428571,0.9864642857142856,,0.9864642857142856,72.98223214285714,,72.98223214285714,1.4267410953591415,,1.4267410953591415,6.479957352813139,,6.479957352813139,0.0064671428571428,,0.0064671428571428,17.987964285714288,,17.987964285714288,95.21870535714284,,95.21870535714284
usa_11,2013,14,2013-04-05,MoB,12.360678571428572,,12.360678571428572,16.924678571428572,,16.924678571428572,8.636169642857144,,8.636169642857144,0.9428482142857144,,0.9428482142857144,75.69742857142857,,75.69742857142857,1.4563868393157002,,1.4563868393157002,7.05559296804053,,7.05559296804053,0.006860669642857,,0.006860669642857,19.157,,19.157,95.44182142857144,,95.44182142857144
usa_11,2013,15,2013-04-12,PoB,11.830080357142858,,11.830080357142858,16.956901785714287,,16.956901785714287,7.487973214285714,,7.487973214285714,0.1773214285714285,,0.1773214285714285,65.10154464285714,,65.10154464285714,1.4206617550912028,,1.4206617550912028,8.651708200094108,,8.651708200094108,0.0056627589285713,,0.0056627589285713,24.99646428571429,,24.99646428571429,95.04542857142856,,95.04542857142856
usa_11,2013,16,2013-04-19,LPoB,11.383973214285714,,11.383973214285714,16.567964285714286,,16.567964285714286,6.650116071428572,,6.650116071428572,0.0935803571428571,,0.0935803571428571,61.04141964285715,,61.04141964285715,1.3994268024047594,,1.3994268024047594,8.5291921918775,,8.5291921918775,0.0050840714285713,,0.0050840714285713,26.585392857142857,,26.585392857142857,95.445125,,95.445125
usa_11,2013,17,2013-04-26,LPoB,14.731428571428571,,14.731428571428571,20.529366071428573,,20.529366071428573,9.641330357142856,,9.641330357142856,0.0164642857142856,,0.0164642857142856,61.39885714285714,,61.39885714285714,1.7203072567609643,,1.7203072567609643,8.457467294088879,,8.457467294088879,0.0060262142857142,,0.0060262142857142,24.302,,24.302,95.2926875,,95.2926875
usa_11,2013,18,2013-05-03,EoB,15.7864375,,15.7864375,21.252651785714285,,21.252651785714285,10.826598214285712,,10.826598214285712,0.0900267857142856,,0.0900267857142856,56.62817857142856,,56.62817857142856,1.8529519669676469,,1.8529519669676469,9.4172059619948,,9.4172059619948,0.0058988214285713,,0.0058988214285713,26.034714285714283,,26.034714285714283,94.918125,,94.918125
usa_11,2013,19,2013-05-10,EoB,15.135258928571428,,15.135258928571428,19.700901785714287,,19.700901785714287,10.857669642857145,,10.857669642857145,0.6524017857142856,,0.6524017857142856,69.34188392857143,,69.34188392857143,1.786200637802794,,1.786200637802794,8.132638956454285,,8.132638956454285,0.0071473392857142,,0.0071473392857142,21.30185714285714,,21.30185714285714,95.39852678571428,,95.39852678571428
usa_11,2013,20,2013-05-17,EoB,15.719901785714285,,15.719901785714285,20.93478571428572,,20.93478571428572,11.0514375,,11.0514375,0.0699017857142856,,0.0699017857142856,63.01517857142856,,63.01517857142856,1.8399419371922416,,1.8399419371922416,10.067680157970518,,10.067680157970518,0.0065676249999999,,0.0065676249999999,27.323357142857144,,27.323357142857144,95.32558035714284,,95.32558035714284
usa_11,2013,21,2013-05-24,EoB,14.183723214285717,,14.183723214285717,19.6215,,19.6215,8.995455357142857,,8.995455357142857,0.1043392857142856,,0.1043392857142856,56.683142857142855,,56.683142857142855,1.655735140756465,,1.655735140756465,9.979792739228795,,9.979792739228795,0.0053954017857142,,0.0053954017857142,29.239392857142853,,29.239392857142853,95.14867857142858,,95.14867857142858
usa_11,2013,22,2013-05-31,EoB,16.879169642857143,,16.879169642857143,22.453714285714288,,22.453714285714288,11.576419642857145,,11.576419642857145,0.2588571428571428,,0.2588571428571428,60.13358035714285,,60.13358035714285,1.9972465253601923,,1.9972465253601923,10.44377554347839,,10.44377554347839,0.0064969642857142,,0.0064969642857142,27.59203571428572,,27.59203571428572,94.99888392857142,,94.99888392857142
usa_11,2013,23,2013-06-07,NoBloom,19.484946428571423,,19.484946428571423,25.517964285714285,,25.517964285714285,13.897017857142856,,13.897017857142856,0.7019642857142856,,0.7019642857142856,58.53903571428572,,58.53903571428572,2.3933946343729384,,2.3933946343729384,9.902529276988306,,9.902529276988306,0.0071376249999999,,0.0071376249999999,24.425464285714288,,24.425464285714288,94.86163392857142,,94.86163392857142
usa_11,2013,24,2013-06-14,NoBloom,17.56944642857143,,17.56944642857143,23.095330357142856,,23.095330357142856,12.249,,12.249,0.0612053571428571,,0.0612053571428571,56.197964285714285,,56.197964285714285,2.0764466726619526,,2.0764466726619526,10.623353279531162,,10.623353279531162,0.0062454017857142,,0.0062454017857142,27.872678571428573,,27.872678571428573,95.13838392857144,,95.13838392857144
usa_11,2013,25,2013-06-21,NoBloom,17.02407142857143,,17.02407142857143,22.494,,22.494,11.709919642857145,,11.709919642857145,0.0784196428571428,,0.0784196428571428,58.00899107142857,,58.00899107142857,1.9917616237554416,,1.9917616237554416,10.893072073683912,,10.893072073683912,0.006344044642857,,0.006344044642857,29.34967857142857,,29.34967857142857,95.10483035714286,,95.10483035714286
usa_11,2013,26,2013-06-28,NoBloom,21.360080357142856,,21.360080357142856,26.638455357142856,,26.638455357142856,16.1775625,,16.1775625,0.4123839285714285,,0.4123839285714285,62.97985714285714,,62.97985714285714,2.711019994220539,,2.711019994220539,10.870279581406365,,10.870279581406365,0.008767919642857,,0.008767919642857,26.584214285714285,,26.584214285714285,95.09523214285714,,95.09523214285714
usa_11,2014,5,2014-01-31,NoBloom,9.212160714285714,,9.212160714285714,13.054633928571429,,13.054633928571429,6.2158839285714285,,6.2158839285714285,1.7009910714285712,,1.7009910714285712,73.27685714285715,,73.27685714285715,1.2210503657172898,,1.2210503657172898,5.149220769467258,,5.149220769467258,0.0058099285714285,,0.0058099285714285,10.340357142857142,,10.340357142857142,95.27246428571428,,95.27246428571428
